id,city,region,country,country_code,air_quality,water_pollution
3363,Manta,Manabi Province,Ecuador,218,68.18181818,70
3364,Broumov,,Czech Republic,203,75,50
3365,Mesquite,Nevada,United States of America,840,100,0
3366,Timmins,Ontario,Canada,124,75,45
3367,Corner Brook,Newfoundland and Labrador,Canada,124,93.75,0
3368,Ciudad del Carmen,Campeche,Mexico,484,66.66666667,66.66666667
3369,Canmore,Alberta,Canada,124,100,25
3370,Grays,England,United Kingdom,826,0,100
3371,Chalandri,Attica Region,Greece,300,75,0
3372,Novi,Michigan,United States of America,840,100,0
3373,Mardan,Khyber Pakhtunkhwa,Pakistan,586,75,33.33333333
3374,Brunswick,Georgia,United States of America,840,78.125,37.5
3375,Opoczno,Lodz Voivodeship,Poland,616,0,75
3376,Rangpur,Rangpur Division,Bangladesh,50,25,62.5
3377,Corby,England,United Kingdom,826,65,25
3378,Tawau,Sabah,Malaysia,458,100,100
3379,Long Branch,New Jersey,United States of America,840,75,25
3380,San Luis Rio Colorado,Sonora,Mexico,484,100,50
3381,Monroe,Michigan,United States of America,840,100,25
3382,Mossel Bay,Western Cape,South Africa,710,100,0
3383,Listowel,,Ireland,372,100,0
3384,Cumbernauld,Scotland,United Kingdom,826,87.5,0
3385,Dalton,Georgia,United States of America,840,100,25
3386,Criuleni,Criuleni District,Moldova,498,50,75
3387,Kumba,Southwest,Cameroon,120,75,50
3388,Mansa,Luapula Province,Zambia,894,75,25
3389,Narok,,Kenya,404,50,100
3390,Buckie,Scotland,United Kingdom,826,75,0
3391,Humpolec,,Czech Republic,203,100,50
3392,Vlasim,,Czech Republic,203,100,50
3393,Krabi,Krabi,Thailand,764,100,50
3394,Burton upon Trent,England,United Kingdom,826,0,25
3395,Summit,New Jersey,United States of America,840,37.5,62.5
3396,Wokingham,England,United Kingdom,826,91.66666667,0
3397,Goole,England,United Kingdom,826,25,50
3398,Dalby,Queensland,Australia,36,100,50
3399,Temirtau,Karaganda Region,Kazakhstan,398,0,75
3400,Hilton Head Island,South Carolina,United States of America,840,100,25
3401,North Vancouver,British Columbia,Canada,124,92.64705882,13.46153846
3402,Ifrane,Fes-Meknes,Morocco,504,100,12.5
3403,Masaya,Masaya Department,Nicaragua,558,50,100
3404,Cotacachi,Imbabura Province,Ecuador,218,100,0
3405,Middelburg,Eastern Cape,South Africa,710,54.16666667,100
3406,New Bern,North Carolina,United States of America,840,100,50
3407,Queluz,Lisbon,Portugal,620,50,0
3408,Eluru,Andhra Pradesh,India,356,54.16666667,57.14285714
3409,Alpharetta,Georgia,United States of America,840,62.5,37.5
3410,Radcliff,Kentucky,United States of America,840,87.5,50
3411,Cumming,Georgia,United States of America,840,58.33333333,41.66666667
3412,Ironton,Ohio,United States of America,840,100,50
3413,Midland,Michigan,United States of America,840,95,33.33333333
3414,Palakkad,Kerala,India,356,86.53846154,54.16666667
3415,Fort Saskatchewan,Alberta,Canada,124,75,12.5
3416,Esteli,Esteli Department,Nicaragua,558,75,50
3417,Muswellbrook,New South Wales,Australia,36,87.5,50
3418,Roznov pod Radhostem,,Czech Republic,203,100,50
3419,Clitheroe,England,United Kingdom,826,100,0
3420,Otrokovice,,Czech Republic,203,75,50
3421,Smithers,British Columbia,Canada,124,100,50
3422,Ipswich,Queensland,Australia,36,50,75
3423,Valdosta,Georgia,United States of America,840,100,50
3424,Hobbs,New Mexico,United States of America,840,100,50
3425,Deal,England,United Kingdom,826,50,25
3426,Yiwu,Zhejiang,China,156,0,50
3427,Taiping,Perak,Malaysia,458,0,25
3428,Princes Town,Princes Town,Trinidad and Tobago,780,0,100
3429,Langley,Washington,United States of America,840,100,0
3430,Nakhon Si Thammarat,Nakhon Si Thammarat,Thailand,764,100,25
3431,Nakhon Sawan,Nakhon Sawan,Thailand,764,30.55555556,41.66666667
3432,Lampang,Lampang,Thailand,764,12.5,50
3433,Sakon Nakhon,Sakon Nakhon,Thailand,764,0,100
3434,Durango,Colorado,United States of America,840,75,0
3435,Farmington,New Mexico,United States of America,840,95,50
3436,Rourkela,Odisha,India,356,33,58.33333333
3437,Drumheller,Alberta,Canada,124,100,0
3438,Spruce Grove,Alberta,Canada,124,100,0
3439,Rymarov,,Czech Republic,203,87.5,50
3440,Nan,Nan,Thailand,764,25,50
3441,Ormoc,,Philippines,608,62.5,62.5
3442,Rayong,Rayong,Thailand,764,43.75,75
3443,Bilovec,,Czech Republic,203,62.5,50
3444,Welkom,Free State,South Africa,710,75,100
3445,Prince Rupert,British Columbia,Canada,124,100,58.33333333
3446,Klerksdorp,North West,South Africa,710,75,75
3447,Santo Domingo,Santo Domingo de los Tsachilas Province,Ecuador,218,0,50
3448,Lower Hutt,Wellington Region,New Zealand,554,100,20.83333333
3449,Hastings,Hawke's Bay Region,New Zealand,554,85,56.25
3450,Porirua,Wellington Region,New Zealand,554,100,75
3451,Yixing,Jiangsu,China,156,0,50
3452,Changshu,Jiangsu,China,156,0,50
3453,Jiangyin,Jiangsu,China,156,0,50
3454,Williamsport,Pennsylvania,United States of America,840,100,0
3455,Timaru,Canterbury Region,New Zealand,554,54.16666667,75
3456,Hinton,Alberta,Canada,124,100,50
3457,Sheridan,Wyoming,United States of America,840,95.83333333,12.5
3458,Cholpon-Ata,Issyk-Kul Region,Kyrgyzstan,417,75,50
3459,Kokopo,,Papua New Guinea,598,75,50
3460,Popondetta,Oro Province,Papua New Guinea,598,50,100
3461,Courtenay,British Columbia,Canada,124,85.71428571,33.33333333
3462,Isa Town,Central Governorate,Bahrain,48,25,87.5
3463,Cold Lake,Alberta,Canada,124,96.875,37.5
3464,Owen Sound,Ontario,Canada,124,100,25
3465,Paarl,Western Cape,South Africa,710,100,0
3466,Samos,North Aegean Region,Greece,300,100,0
3467,Butterworth,Penang,Malaysia,458,25,25
3468,Selkirk,Manitoba,Canada,124,100,0
3469,Comox,British Columbia,Canada,124,87.5,50
3470,Rochester,Michigan,United States of America,840,100,0
3471,Fairborn,Ohio,United States of America,840,87.5,50
3472,San Martin de los Andes,Neuquen Province,Argentina,32,100,75
3473,Moose Jaw,Saskatchewan,Canada,124,91.66666667,33.33333333
3474,Uitenhage,Eastern Cape,South Africa,710,100,0
3475,Rongcheng,Shandong,China,156,12.5,50
3476,Mirpur Khas,Sindh,Pakistan,586,0,100
3477,Rio Tinto,Porto,Portugal,620,100,75
3478,Terrace,British Columbia,Canada,124,91.66666667,0
3479,Port Mathurin,,Mauritius,480,75,87.5
3480,Ypsilanti,Michigan,United States of America,840,75,66.66666667
3481,Port Alberni,British Columbia,Canada,124,83.33333333,0
3482,Lin'an,Zhejiang,China,156,0,50
3483,Drayton Valley,Alberta,Canada,124,100,50
3484,San Fernando,,Trinidad and Tobago,780,50,55
3485,Lisle,Illinois,United States of America,840,100,0
3486,Wangaratta,Victoria,Australia,36,100,25
3487,Valladolid,Yucatan,Mexico,484,100,0
3488,Clifden,Connacht,Ireland,372,100,50
3489,Franschhoek,Western Cape,South Africa,710,50,75
3490,Pathanamthitta,Kerala,India,356,89.70588235,38.63636364
3491,Jaunpur,Uttar Pradesh,India,356,50,62.5
3492,Nong Khai,Nong Khai,Thailand,764,50,37.5
3493,Salinas,Santa Elena Province,Ecuador,218,25,100
3494,Jinotega,Jinotega Department,Nicaragua,558,66.66666667,83.33333333
3495,Chachoengsao,Chachoengsao,Thailand,764,75,100
3496,Sandton,Gauteng,South Africa,710,64.58333333,33.33333333
3497,Jhang,Punjab,Pakistan,586,50,50
3498,Ainaro,Ainaro Municipality,Timor-Leste,626,100,75
3499,Newcastle,KwaZulu-Natal,South Africa,710,6.25,81.25
3500,Ermelo,Mpumalanga,South Africa,710,50,50
3501,Pottsville,Pennsylvania,United States of America,840,75,0
3502,Cambridge,Waikato Region,New Zealand,554,75,0
3503,Cambridge,Ontario,Canada,124,63.46153846,55.76923077
3504,Concord,North Carolina,United States of America,840,91.66666667,62.5
3505,Campbell River,British Columbia,Canada,124,100,0
3506,Campbellton,New Brunswick,Canada,124,75,0
3507,Darayya,Rif Dimashq Governorate,Syria,760,100,25
3508,Harstad,Troms og Finnmark fylke,Norway,578,100,75
3509,Kampong Chhnang,Kampong Chhnang Province,Cambodia,116,100,50
3510,Sibu,Sarawak,Malaysia,458,65,25
3511,Cuevas del Almanzora,Andalusia,Spain,724,62.5,50
3512,Andkhoy,Faryab,Afghanistan,4,50,50
3513,Centurion,Gauteng,South Africa,710,25,72.22222222
3514,Chapala,Jalisco,Mexico,484,87.5,50
3515,Watertown,South Dakota,United States of America,840,95.83333333,50
3516,Moses Lake,Washington,United States of America,840,75,0
3517,Johnstown,Pennsylvania,United States of America,840,87.5,75
3518,Dadu,,Pakistan,586,50,50
3519,Claremorris,Connacht,Ireland,372,100,0
3520,Banting,,Malaysia,458,25,75
3521,Busia,,Kenya,404,50,100
3522,Peshawar,Khyber Pakhtunkhwa,Pakistan,586,29.05405405,55.46875
3523,Bloomsburg,Pennsylvania,United States of America,840,87.5,25
3524,Darbhanga,Bihar,India,356,40.625,59.375
3525,Metsamor,Armavir Region,Armenia,51,0,50
3526,Frankston,Victoria,Australia,36,87.5,100
3527,Cranbrook,British Columbia,Canada,124,100,16.66666667
3528,Twickenham,England,United Kingdom,826,87.5,12.5
3529,Hazard,Kentucky,United States of America,840,100,50
3530,New Castle,Pennsylvania,United States of America,840,87.5,50
3531,Anderson,South Carolina,United States of America,840,87.5,0
3532,Te Anau,Southland Region,New Zealand,554,100,50
3533,Warren,Pennsylvania,United States of America,840,100,50
3534,Yenangyaung,,Myanmar,104,0,50
3535,Woodland,Washington,United States of America,840,100,0
3536,Laixi,Shandong,China,156,0,50
3537,Kluang,Johor,Malaysia,458,75,100
3538,Surin,Surin,Thailand,764,75,50
3539,Yala,Yala,Thailand,764,70.83333333,50
3540,Ratchaburi,Ratchaburi,Thailand,764,35,0
3541,Phrae,Phrae,Thailand,764,12.5,50
3542,Si Sa Ket,Si Sa Ket,Thailand,764,75,25
3543,Phetchabun,Phetchabun,Thailand,764,58.33333333,50
3544,Diego Martin,Diego Martin Regional Corporation,Trinidad and Tobago,780,100,50
3545,Ohrid,Ohrid Municipality,North Macedonia,807,82.14285714,28.33333333
3546,Masterton,Wellington Region,New Zealand,554,85.71428571,33.33333333
3547,Dondo,Sofala,Mozambique,508,50,100
3548,Moca,Espaillat Province,Dominican Republic,214,0,25
3549,Rushan,Shandong,China,156,0,50
3550,Chakwal,Punjab,Pakistan,586,50,50
3551,Houston,British Columbia,Canada,124,100,50
3552,Sechelt,British Columbia,Canada,124,75,0
3553,Dibrugarh,Assam,India,356,51.78571429,44.44444444
3554,Salalah,,Oman,512,81.25,56.25
3555,Kalutara,Western Province,Sri Lanka,144,75,75
3556,Lomnice nad Popelkou,,Czech Republic,203,75,50
3557,Karratha,Western Australia,Australia,36,100,0
3558,Jurong,Jiangsu,China,156,0,50
3559,Marsh Harbour,Central Abaco,Bahamas,44,50,75
3560,Romford,England,United Kingdom,826,75,0
3561,Nuwara Eliya,Central Province,Sri Lanka,144,83.33333333,16.66666667
3562,Shouguang,Shandong,China,156,0,50
3563,Samut Sakhon,Samut Sakhon,Thailand,764,14.28571429,75
3564,Ashland,Massachusetts,United States of America,840,100,50
3565,Okotoks,Alberta,Canada,124,100,12.5
3566,Liyang,Jiangsu,China,156,0,50
3567,Rocky Mount,Virginia,United States of America,840,50,75
3568,Herndon,Virginia,United States of America,840,50,25
3569,Amherst,Virginia,United States of America,840,100,50
3570,Christiansburg,Virginia,United States of America,840,75,100
3571,Highgate,,Jamaica,388,75,25
3572,Watertown,New York,United States of America,840,62.5,37.5
3573,Ewarton,Middlesex County,Jamaica,388,75,50
3574,Liberia,Guanacaste Province,Costa Rica,188,100,0
3575,Ubari,Wadi al Hayaa District,Libya,434,0,100
3576,Newcastle upon Tyne,England,United Kingdom,826,73.14814815,20.23809524
3577,Tamworth,New South Wales,Australia,36,100,25
3578,Parksville,British Columbia,Canada,124,80,0
3579,Chaguanas,,Trinidad and Tobago,780,20,70
3580,Dhangadhi,,Nepal,524,62.5,37.5
3581,Rohtak,Haryana,India,356,50,25
3582,Muzaffarpur,Bihar,India,356,17.59259259,57.60869565
3583,Knutsford,England,United Kingdom,826,100,0
